Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
39,No,Travel_Rarely,237,Sales,2,3,Life Sciences,1,15,1,Female,47,3,2,Sales Executive,2,Married,4132,21622,1,Y,No,17,3,4,80,0,18,3,1,10,0,0,1
41,No,Travel_Rarely,1415,Sales,1,1,Life Sciences,1,16,3,Female,84,4,2,Sales Executive,3,Married,4934,9185,6,Y,Yes,18,3,4,80,0,13,2,2,0,0,0,0
42,No,Travel_Rarely,1077,Research & Development,12,4,Human Resources,1,17,3,Male,97,2,4,Laboratory Technician,3,Divorced,8502,16033,2,Y,Yes,13,3,3,80,3,16,3,1,13,3,5,0
40,Yes,Travel_Rarely,1080,Research & Development,4,3,Other,1,18,4,Female,76,3,4,Research Director,2,Married,9483,3318,0,Y,No,14,4,3,80,1,4,3,3,4,4,2,4
44,No,Travel_Frequently,144,Research & Development,1,5,Life Sciences,1,19,2,Female,83,3,2,Laboratory Technician,2,Married,5286,9906,9,Y,No,16,3,3,80,1,7,3,3,3,3,1,1
31,No,Travel_Rarely,1230,Sales,18,2,Life Sciences,1,20,1,Female,47,3,2,Sales Executive,3,Divorced,3379,3281,8,Y,Yes,14,4,4,80,1,20,0,3,8,2,0,8
31,Yes,Travel_Rarely,1156,Research & Development,7,3,Other,1,21,1,Male,93,3,1,Laboratory Technician,1,Single,2969,18484,2,Y,No,17,3,4,80,1,21,2,2,1,0,1,1
27,No,Travel_Rarely,888,Sales,3,2,Life Sciences,1,22,3,Male,78,4,5,Sales Executive,4,Single,10335,4202,8,Y,No,16,3,4,80,1,2,5,4,2,2,0,2
40,No,Travel_Frequently,1344,Sales,3,3,Medical,1,23,4,Male,64,3,1,Sales Executive,1,Married,2566,17805,1,Y,No,13,3,2,80,1,12,2,3,2,2,0,2
44,No,Non-Travel,214,Research & Development,3,4,Other,1,24,2,Female,68,3,2,Research Scientist,1,Single,3917,23498,4,Y,No,11,3,4,80,1,7,3,1,3,1,0,0
41,No,Travel_Rarely,833,Research & Development,5,4,Other,1,25,2,Male,87,2,2,Manufacturing Director,3,Single,5898,19413,1,Y,No,20,3,2,80,1,6,2,3,6,5,0,0
52,No,Travel_Rarely,1385,Research & Development,3,4,Medical,1,26,1,Male,86,2,2,Research Director,4,Married,5332,25676,1,Y,Yes,12,4,2,80,2,12,2,3,0,0,0,0
36,No,Travel_Rarely,113,Sales,7,4,Life Sciences,1,27,3,Male,35,3,1,Sales Representative,4,Single,1908,14472,5,Y,No,16,3,4,80,2,18,2,3,0,0,0,0
43,No,Travel_Frequently,1465,Research & Development,13,1,Life Sciences,1,28,4,Male,49,4,4,Manufacturing Director,3,Married,7432,7731,2,Y,No,11,3,1,80,0,14,3,2,8,3,2,1
27,Yes,Travel_Rarely,973,Research & Development,10,3,Human Resources,1,29,3,Male,79,3,1,Laboratory Technician,2,Divorced,2191,3402,0,Y,No,14,3,4,80,1,8,5,2,6,6,6,5
33,No,Travel_Rarely,347,Sales,3,4,Other,1,30,4,Male,38,3,3,Sales Representative,4,Single,6847,3510,2,Y,No,15,3,1,80,1,14,2,3,8,1,0,5
43,No,Travel_Rarely,1375,Research & Development,6,3,Medical,1,31,3,Female,43,3,1,Manufacturing Director,4,Single,2692,23523,1,Y,Yes,15,3,4,80,0,8,2,4,8,4,0,2
44,No,Travel_Rarely,610,Sales,16,2,Marketing,1,32,1,Female,52,2,1,Sales Executive,2,Single,3502,20383,4,Y,No,25,3,2,80,3,13,3,3,7,0,1,7
34,No,Travel_Rarely,1429,Sales,1,3,Marketing,1,33,2,Male,77,3,4,Sales Executive,4,Single,9131,13496,1,Y,No,12,3,3,80,1,20,2,3,10,0,1,0
36,No,Travel_Rarely,1486,Human Resources,1,3,Medical,1,34,3,Female,85,2,1,Human Resources,1,Single,3275,25778,6,Y,No,17,3,2,80,1,0,5,3,0,0,0,0
23,No,Travel_Rarely,145,Human Resources,7,3,Technical Degree,1,35,3,Female,69,3,4,Human Resources,4,Single,8761,9876,1,Y,No,16,3,3,80,0,16,2,3,0,0,0,0
33,Yes,Travel_Rarely,1444,Research & Development,9,4,Marketing,1,36,3,Male,98,3,2,Laboratory Technician,4,Married,3388,8196,2,Y,Yes,12,4,2,80,0,0,3,3,0,0,0,0
45,No,Non-Travel,708,Research & Development,2,3,Medical,1,37,4,Male,68,3,1,Manufacturing Director,4,Married,2343,21875,1,Y,No,17,3,3,80,0,19,3,4,18,4,0,1
42,No,Non-Travel,1419,Sales,12,1,Life Sciences,1,38,3,Female,72,4,5,Sales Executive,4,Married,11348,22156,4,Y,No,14,3,1,80,0,6,4,3,6,2,0,3
41,No,Travel_Rarely,610,Research & Development,9,1,Marketing,1,39,4,Male,60,2,1,Manufacturing Director,4,Divorced,2458,8124,1,Y,No,18,3,1,80,1,2,3,3,2,2,0,2
37,Yes,Travel_Frequently,1451,Research & Development,23,4,Medical,1,40,3,Female,99,2,4,Healthcare Representative,2,Divorced,8902,5096,2,Y,Yes,21,3,1,80,2,15,2,3,4,0,0,2
37,No,Travel_Rarely,1378,Sales,1,5,Life Sciences,1,41,4,Male,32,3,1,Sales Representative,3,Married,2245,25100,1,Y,No,15,3,3,80,1,13,1,4,6,5,0,0
31,No,Travel_Rarely,409,Research & Development,12,4,Technical Degree,1,42,2,Male,33,4,4,Research Director,1,Single,7676,13815,7,Y,No,14,3,4,80,0,4,5,3,4,2,0,0
43,Yes,Travel_Rarely,1448,Sales,1,3,Marketing,1,43,4,Female,56,3,1,Sales Representative,3,Married,2401,4659,0,Y,Yes,18,3,4,80,0,2,4,1,2,2,2,2
40,No,Travel_Rarely,968,Research & Development,7,4,Other,1,44,4,Male,56,4,2,Research Scientist,4,Married,4747,4677,6,Y,No,19,3,2,80,1,9,0,3,8,4,5,2
41,No,Non-Travel,1013,Sales,7,3,Life Sciences,1,45,3,Female,76,3,3,Sales Executive,3,Single,5975,12558,1,Y,No,11,3,3,80,1,2,4,3,2,2,1,2
32,No,Travel_Frequently,137,Research & Development,4,4,Medical,1,46,4,Male,89,3,5,Research Scientist,2,Divorced,10311,12905,0,Y,Yes,13,3,4,80,3,3,3,3,0,0,0,0
18,No,Travel_Rarely,812,Research & Development,16,4,Life Sciences,1,47,4,Male,65,4,4,Research Director,3,Married,7748,16201,1,Y,No,17,3,2,80,1,11,3,3,11,4,9,2
46,No,Travel_Frequently,1416,Research & Development,1,3,Other,1,48,1,Male,75,3,4,Healthcare Representative,4,Single,9395,24329,1,Y,No,14,3,3,80,1,4,0,3,4,3,0,3
32,No,Non-Travel,1042,Research & Development,6,3,Life Sciences,1,49,3,Male,90,3,4,Laboratory Technician,1,Divorced,8264,25975,3,Y,No,11,3,3,80,0,13,4,3,11,2,1,1
29,No,Travel_Rarely,1062,Sales,2,2,Medical,1,50,1,Male,71,3,1,Sales Representative,3,Divorced,3662,20292,9,Y,No,16,3,1,80,1,21,2,4,12,4,6,8
43,No,Travel_Frequently,337,Human Resources,12,2,Technical Degree,1,51,4,Male,36,3,2,Human Resources,1,Married,5722,6012,0,Y,No,17,3,1,80,0,9,3,2,4,4,1,1
33,No,Travel_Rarely,462,Research & Development,1,4,Life Sciences,1,52,4,Male,59,3,2,Manager,4,Married,4435,15963,2,Y,Yes,13,3,1,80,1,11,0,3,11,1,0,2
46,No,Travel_Frequently,1381,Human Resources,16,4,Other,1,53,1,Female,79,3,2,Human Resources,1,Married,3693,8605,2,Y,No,15,3,3,80,1,25,4,3,3,2,2,1
42,No,Travel_Rarely,969,Research & Development,16,4,Technical Degree,1,54,1,Male,76,3,2,Research Scientist,3,Married,2831,16210,1,Y,No,12,3,1,80,1,2,0,3,1,0,0,1
43,No,Travel_Rarely,1484,Research & Development,16,3,Life Sciences,1,55,3,Female,69,3,2,Manufacturing Director,2,Single,3322,5307,1,Y,No,11,3,2,80,0,19,2,3,13,3,0,4
24,Yes,Travel_Frequently,126,Human Resources,1,1,Life Sciences,1,56,2,Male,34,1,1,Human Resources,2,Married,1400,5981,7,Y,No,13,3,2,80,1,18,2,2,6,2,0,3
47,Yes,Travel_Rarely,916,Sales,8,1,Life Sciences,1,57,1,Male,99,3,3,Sales Executive,4,Divorced,7602,26235,0,Y,Yes,15,3,1,80,0,16,2,3,10,6,0,2
39,No,Travel_Rarely,1053,Sales,1,3,Life Sciences,1,58,3,Female,87,2,1,Sales Executive,1,Single,2592,3316,5,Y,No,11,3,2,80,0,20,3,3,9,6,0,3
33,No,Travel_Rarely,1085,Sales,16,3,Human Resources,1,59,3,Male,73,4,2,Sales Representative,3,Divorced,4811,15404,1,Y,No,13,3,4,80,1,12,2,3,10,1,4,1
38,No,Travel_Frequently,1126,Research & Development,11,3,Other,1,60,1,Male,61,2,2,Manufacturing Director,1,Divorced,2723,7840,2,Y,Yes,15,4,1,80,3,6,6,3,0,0,0,0
21,No,Travel_Rarely,459,Research & Development,6,1,Life Sciences,1,61,4,Male,69,3,4,Laboratory Technician,3,Single,7541,21585,2,Y,No,19,3,3,80,1,18,3,3,3,3,0,3
40,No,Travel_Frequently,219,Sales,11,5,Medical,1,62,4,Female,86,3,3,Sales Representative,3,Married,7209,20991,1,Y,No,13,3,3,80,1,18,3,2,5,3,0,1
27,Yes,Travel_Frequently,580,Research & Development,1,3,Medical,1,63,4,Female,40,3,3,Research Director,2,Single,6729,23330,0,Y,No,11,3,4,80,0,18,2,1,2,1,1,2
24,No,Travel_Rarely,778,Research & Development,6,4,Life Sciences,1,64,4,Male,69,3,1,Laboratory Technician,1,Married,2382,14972,1,Y,No,14,3,3,80,0,11,2,3,9,0,9,4
23,No,Travel_Rarely,560,Sales,3,3,Life Sciences,1,65,2,Male,76,3,2,Sales Executive,3,Divorced,4951,23454,1,Y,No,13,3,2,80,0,5,1,3,5,5,0,5
47,Yes,Travel_Rarely,214,Research & Development,29,2,Life Sciences,1,66,2,Female,31,2,1,Research Scientist,4,Single,3808,16526,6,Y,No,16,3,4,80,3,12,3,3,12,6,0,6
31,No,Travel_Rarely,1320,Sales,17,4,Medical,1,67,2,Male,81,4,2,Sales Executive,4,Married,4323,18269,1,Y,Yes,13,3,3,80,1,17,2,4,4,3,1,4
50,No,Travel_Rarely,1145,Research & Development,11,4,Medical,1,68,4,Male,78,1,2,Research Director,3,Divorced,4555,7077,5,Y,No,11,3,4,80,2,18,3,3,8,6,1,3
32,No,Travel_Rarely,1411,Sales,24,3,Marketing,1,69,4,Male,88,4,1,Sales Executive,3,Married,2654,12483,1,Y,Yes,25,3,3,80,1,7,2,3,7,0,0,2
21,No,Travel_Rarely,559,Human Resources,3,3,Life Sciences,1,70,4,Male,67,3,2,Human Resources,2,Single,6413,22616,7,Y,Yes,15,3,4,80,1,13,6,3,10,7,0,1
26,Yes,Travel_Rarely,741,Research & Development,20,1,Technical Degree,1,71,4,Male,45,2,5,Research Director,2,Single,8820,19798,2,Y,Yes,15,3,4,80,3,1,2,3,1,1,1,1
48,No,Travel_Frequently,1210,Sales,3,3,Medical,1,72,3,Female,56,3,5,Sales Executive,1,Married,11046,15294,1,Y,Yes,11,3,4,80,0,17,0,2,17,4,0,0
35,No,Travel_Rarely,677,Sales,11,4,Human Resources,1,73,3,Male,57,3,2,Sales Executive,2,Divorced,4408,20844,9,Y,Yes,11,3,3,80,1,5,3,3,5,3,4,2
32,No,Non-Travel,1399,Research & Development,12,1,Medical,1,74,3,Male,95,3,1,Laboratory Technician,2,Divorced,2953,22791,1,Y,No,14,3,3,80,2,16,5,3,12,8,0,7
38,No,Travel_Rarely,901,Research & Development,1,2,Human Resources,1,75,1,Female,74,1,1,Manager,3,Married,1974,4629,3,Y,No,16,3,4,80,1,2,3,1,2,0,0,2
41,Yes,Travel_Rarely,504,Research & Development,4,4,Technical Degree,1,76,1,Male,62,4,2,Manufacturing Director,3,Married,4460,24767,3,Y,Yes,17,3,4,80,0,18,1,3,10,8,3,6
47,No,Travel_Rarely,354,Research & Development,1,2,Medical,1,77,4,Male,89,3,5,Healthcare Representative,4,Single,11069,20853,2,Y,Yes,15,3,4,80,0,13,3,3,0,0,0,0
50,No,Travel_Rarely,1059,Sales,29,3,Life Sciences,1,78,3,Male,79,3,1,Sales Executive,2,Single,4990,21091,8,Y,No,11,3,2,80,1,5,4,3,5,5,0,3
33,No,Travel_Frequently,763,Research & Development,1,3,Other,1,79,3,Female,75,3,3,Research Scientist,3,Married,7146,14500,6,Y,No,11,3,4,80,0,15,0,3,0,0,0,0
25,No,Travel_Rarely,1490,Sales,7,3,Marketing,1,80,3,Male,64,2,1,Sales Representative,4,Married,1821,15547,6,Y,No,14,3,2,80,2,6,2,3,6,0,2,3
33,No,Travel_Rarely,770,Research & Development,14,3,Other,1,81,2,Male,70,2,5,Manager,3,Married,10160,22863,9,Y,No,13,3,3,80,0,16,4,3,5,5,0,1
39,No,Travel_Rarely,829,Research & Development,2,2,Technical Degree,1,82,3,Female,87,2,2,Manufacturing Director,2,Divorced,4137,2318,2,Y,No,11,3,2,80,1,9,4,3,6,4,1,1
28,No,Travel_Rarely,1385,Research & Development,5,1,Medical,1,83,3,Female,84,4,3,Healthcare Representative,2,Married,5063,9490,0,Y,No,17,3,2,80,1,0,3,3,0,0,0,0
28,Yes,Travel_Rarely,713,Sales,8,4,Life Sciences,1,84,3,Female,34,2,2,Sales Representative,1,Married,4235,4894,5,Y,Yes,11,3,4,80,1,4,6,3,4,3,0,4
40,No,Travel_Rarely,1247,Research & Development,1,4,Life Sciences,1,85,4,Male,34,3,3,Laboratory Technician,2,Single,7086,3374,2,Y,No,17,3,1,80,1,7,1,3,5,2,0,5
36,No,Travel_Rarely,1080,Research & Development,13,3,Other,1,86,3,Male,51,3,1,Research Scientist,4,Divorced,1480,17808,1,Y,No,11,4,3,80,2,20,3,2,7,7,1,6
37,Yes,Travel_Rarely,780,Research & Development,3,3,Life Sciences,1,87,3,Male,63,2,1,Research Director,1,Married,3338,2615,2,Y,No,15,4,3,80,1,17,3,3,0,0,0,0
30,No,Travel_Rarely,670,Research & Development,2,2,Life Sciences,1,88,4,Male,94,2,5,Laboratory Technician,2,Divorced,10890,20096,7,Y,No,18,3,1,80,1,22,3,4,5,4,0,5
34,No,Travel_Frequently,644,Research & Development,7,1,Marketing,1,89,4,Female,88,4,4,Healthcare Representative,4,Married,7912,26284,1,Y,No,13,3,2,80,0,22,4,3,0,0,0,0
28,Yes,Travel_Rarely,620,Research & Development,4,4,Marketing,1,90,4,Male,46,2,4,Manager,4,Married,8386,13968,6,Y,Yes,20,3,3,80,0,7,5,4,3,3,1,3
45,No,Travel_Rarely,113,Sales,22,3,Life Sciences,1,91,2,Female,80,2,3,Sales Executive,3,Married,7778,20079,2,Y,Yes,21,4,2,80,0,9,2,3,9,3,2,2
46,No,Travel_Rarely,111,Research & Development,19,3,Life Sciences,1,92,1,Male,78,1,4,Laboratory Technician,4,Single,9086,4400,1,Y,No,15,3,4,80,0,8,0,4,8,5,2,0
20,No,Travel_Rarely,258,Research & Development,5,1,Medical,1,93,2,Male,38,3,1,Healthcare Representative,3,Married,2507,9916,6,Y,No,16,3,4,80,1,6,2,2,3,3,0,1
28,No,Travel_Rarely,1113,Research & Development,4,1,Life Sciences,1,94,2,Female,44,4,2,Laboratory Technician,1,Divorced,4309,14952,8,Y,No,18,3,2,80,1,0,3,3,0,0,0,0
23,No,Travel_Rarely,826,Research & Development,3,3,Technical Degree,1,95,4,Male,58,4,2,Healthcare Representative,3,Single,4561,16278,1,Y,No,16,3,2,80,1,10,2,1,0,0,0,0
31,No,Travel_Rarely,242,Research & Development,2,4,Life Sciences,1,96,3,Female,82,2,3,Laboratory Technician,3,Single,6090,3036,1,Y,Yes,16,3,3,80,0,2,4,3,2,2,2,2
36,Yes,Travel_Rarely,740,Research & Development,7,4,Technical Degree,1,97,1,Female,54,1,2,Research Director,4,Married,2816,6025,2,Y,Yes,13,4,4,80,0,10,2,3,10,2,0,6
23,Yes,Travel_Frequently,238,Research & Development,14,4,Technical Degree,1,98,1,Male,57,3,1,Research Scientist,1,Single,4133,11439,6,Y,Yes,11,4,2,80,2,25,0,3,18,3,0,9
28,No,Travel_Frequently,792,Sales,3,4,Medical,1,99,1,Male,52,3,3,Sales Representative,3,Married,6624,5843,0,Y,No,11,4,1,80,3,7,3,3,7,2,1,0
27,No,Travel_Rarely,544,Sales,1,4,Life Sciences,1,100,3,Male,32,3,4,Sales Executive,2,Married,8818,26930,1,Y,Yes,23,3,3,80,3,12,3,3,7,6,4,7
38,No,Travel_Rarely,1392,Sales,5,3,Medical,1,101,4,Female,62,2,2,Sales Executive,3,Married,4453,6834,4,Y,Yes,16,3,4,80,2,17,2,1,1,1,1,1
37,No,Travel_Rarely,777,Research & Development,1,2,Medical,1,102,4,Male,98,3,1,Research Scientist,1,Divorced,1911,18467,2,Y,No,14,3,3,80,1,12,3,3,2,2,2,2
30,No,Travel_Frequently,378,Research & Development,10,4,Life Sciences,1,103,4,Female,46,1,1,Healthcare Representative,2,Married,2351,17977,1,Y,Yes,19,3,3,80,2,13,3,3,9,3,0,0
38,No,Non-Travel,1481,Research & Development,6,2,Technical Degree,1,104,2,Male,96,4,1,Healthcare Representative,4,Divorced,1220,14513,7,Y,No,12,3,4,80,1,8,2,3,3,3,1,3
32,No,Travel_Rarely,1034,Research & Development,6,2,Medical,1,105,2,Female,96,2,2,Research Scientist,3,Married,6321,18885,7,Y,No,17,3,4,80,3,9,1,3,9,6,1,0
34,No,Travel_Rarely,1218,Sales,3,2,Technical Degree,1,106,2,Female,63,3,3,Sales Executive,3,Divorced,5512,20521,8,Y,No,15,3,4,80,0,4,3,3,4,4,1,4
52,No,Travel_Frequently,742,Research & Development,21,3,Life Sciences,1,107,2,Male,37,3,3,Research Scientist,2,Single,5674,7366,1,Y,No,16,3,3,80,3,16,2,4,8,0,3,4
49,No,Travel_Frequently,1261,Research & Development,1,3,Life Sciences,1,108,4,Male,74,3,3,Research Director,2,Single,6147,16711,7,Y,No,13,3,4,80,1,0,5,2,0,0,0,0
25,No,Travel_Rarely,212,Sales,18,2,Other,1,109,3,Male,89,1,2,Sales Representative,3,Single,5530,10852,5,Y,No,11,4,4,80,0,17,3,3,0,0,0,0
44,No,Travel_Rarely,1169,Sales,4,3,Medical,1,110,4,Male,85,1,4,Sales Executive,4,Married,8511,17197,1,Y,No,12,3,4,80,0,1,2,3,1,1,1,1
44,Yes,Travel_Rarely,992,Sales,19,4,Medical,1,111,3,Male,99,4,1,Sales Executive,4,Divorced,1511,24235,3,Y,No,12,3,4,80,2,17,2,2,0,0,0,0
26,Yes,Travel_Rarely,312,Sales,11,3,Medical,1,112,1,Male,51,3,2,Sales Executive,3,Married,5503,16475,0,Y,Yes,14,4,4,80,1,8,2,3,4,4,0,3
44,Yes,Travel_Rarely,444,Human Resources,1,4,Life Sciences,1,113,1,Female,62,3,4,Human Resources,3,Divorced,9084,15067,4,Y,Yes,11,3,2,80,3,2,3,3,2,0,2,2
50,Yes,Travel_Rarely,1484,Research & Development,16,2,Marketing,1,114,3,Female,79,4,1,Manufacturing Director,4,Married,2930,13656,5,Y,No,11,3,2,80,0,15,3,3,13,4,5,3
26,No,Travel_Frequently,462,Research & Development,10,2,Life Sciences,1,115,4,Female,75,3,1,Manager,3,Married,3072,4073,5,Y,No,15,3,4,80,1,17,4,3,4,4,1,4
28,No,Travel_Frequently,1456,Research & Development,1,3,Medical,1,116,2,Male,81,3,4,Research Scientist,3,Divorced,10415,24642,1,Y,No,14,3,2,80,0,7,2,3,4,0,2,3
46,No,Travel_Frequently,512,Research & Development,1,3,Medical,1,117,4,Female,95,3,2,Research Director,2,Married,6248,22316,3,Y,No,15,3,3,80,1,16,2,2,2,2,0,2
39,Yes,Travel_Rarely,860,Sales,9,3,Other,1,118,4,Male,50,3,3,Sales Executive,4,Divorced,5950,9234,1,Y,Yes,14,4,2,80,1,0,1,2,0,0,0,0
41,No,Travel_Rarely,609,Research & Development,9,4,Medical,1,119,3,Male,53,2,1,Laboratory Technician,3,Single,3799,15570,8,Y,No,23,3,4,80,1,1,2,3,1,1,1,1
40,No,Travel_Rarely,333,Research & Development,12,4,Life Sciences,1,120,4,Male,77,3,3,Research Director,4,Divorced,6806,4409,4,Y,No,15,3,1,80,0,20,3,2,0,0,0,0
40,No,Travel_Rarely,905,Research & Development,11,4,Medical,1,121,3,Male,42,2,2,Research Director,4,Married,4899,10386,0,Y,Yes,13,3,4,80,0,9,5,3,9,3,1,4
25,Yes,Travel_Rarely,1295,Research & Development,9,3,Life Sciences,1,122,4,Male,93,2,1,Manager,2,Married,1146,6850,1,Y,No,15,3,3,80,0,0,3,3,0,0,0,0
46,No,Travel_Rarely,335,Research & Development,13,2,Life Sciences,1,123,4,Male,34,2,3,Research Scientist,4,Single,6363,8890,4,Y,No,18,3,2,80,2,6,4,4,6,5,0,4
47,No,Travel_Rarely,621,Sales,7,3,Life Sciences,1,124,4,Female,47,3,1,Sales Executive,4,Married,1849,16408,2,Y,No,14,3,3,80,0,4,2,3,1,1,0,1
34,No,Travel_Rarely,403,Sales,2,2,Medical,1,125,2,Male,66,4,2,Sales Representative,2,Divorced,5162,13730,5,Y,Yes,17,3,2,80,0,9,2,4,0,0,0,0
36,No,Travel_Rarely,201,Research & Development,21,2,Life Sciences,1,126,3,Female,83,3,1,Manufacturing Director,1,Divorced,3356,2126,1,Y,No,16,3,2,80,1,8,2,3,7,5,0,6
23,No,Travel_Rarely,354,Research & Development,1,2,Medical,1,127,1,Male,61,3,1,Laboratory Technician,1,Single,1009,22809,4,Y,No,13,3,3,80,2,12,2,3,7,0,1,3
41,No,Travel_Rarely,409,Research & Development,4,3,Other,1,128,2,Male,57,3,2,Research Scientist,3,Single,4482,16627,1,Y,No,15,3,1,80,0,10,3,4,6,2,1,2
42,No,Travel_Frequently,895,Sales,11,2,Marketing,1,129,4,Male,74,3,1,Sales Executive,2,Married,3397,25368,3,Y,No,20,3,4,80,0,20,2,3,5,5,0,5
36,No,Travel_Rarely,904,Research & Development,5,1,Life Sciences,1,130,4,Female,57,3,4,Healthcare Representative,3,Single,8350,10617,8,Y,Yes,15,3,1,80,1,13,4,1,13,6,0,2
47,No,Travel_Rarely,488,Research & Development,1,3,Life Sciences,1,131,3,Male,94,3,1,Research Scientist,2,Married,3083,21994,3,Y,No,11,3,3,80,3,14,6,3,9,1,4,6
33,No,Travel_Rarely,1248,Sales,1,3,Medical,1,132,2,Male,99,2,2,Sales Executive,4,Single,4780,23059,0,Y,No,13,3,3,80,1,19,2,4,18,2,0,7
42,No,Travel_Rarely,233,Sales,9,4,Human Resources,1,133,2,Male,71,3,1,Sales Executive,2,Married,2773,6309,9,Y,Yes,11,4,3,80,0,8,3,3,8,8,1,5
27,No,Travel_Rarely,1361,Research & Development,29,3,Life Sciences,1,134,3,Male,62,1,2,Laboratory Technician,2,Married,4282,18635,1,Y,No,15,3,3,80,1,2,3,3,2,2,2,0
36,No,Travel_Frequently,322,Human Resources,7,2,Technical Degree,1,135,2,Female,45,3,5,Human Resources,3,Married,9526,23423,4,Y,No,19,4,4,80,3,19,2,3,0,0,0,0
35,No,Travel_Rarely,163,Research & Development,6,2,Medical,1,136,2,Male,42,3,1,Manufacturing Director,3,Married,1602,22106,3,Y,No,11,3,4,80,1,11,5,4,10,0,0,3
39,No,Travel_Rarely,933,Research & Development,3,2,Medical,1,137,4,Male,50,2,5,Research Scientist,2,Divorced,11067,22260,1,Y,Yes,15,4,4,80,1,11,2,2,4,4,1,2
33,Yes,Non-Travel,833,Research & Development,2,4,Other,1,138,1,Female,88,2,1,Healthcare Representative,2,Single,2515,22299,1,Y,No,18,3,1,80,1,6,3,3,0,0,0,0
35,No,Travel_Rarely,504,Research & Development,1,4,Marketing,1,139,3,Male,76,4,3,Laboratory Technician,1,Married,6389,21166,1,Y,No,18,3,3,80,3,6,2,3,6,3,2,6
44,No,Travel_Rarely,272,Human Resources,2,2,Technical Degree,1,140,4,Female,68,3,2,Human Resources,4,Single,4160,7138,6,Y,No,19,4,2,80,1,16,2,3,5,2,2,2
